DeviceName,InfName
Intel(R)Serial IO GPIO Driver,iaLPSS2_GPIO2_SKL.inf
Intel(R)Serial IO UART Driver,iaLPSS2_UART2_SKL.inf
Intel(R)Imaging Signal Processor 2500,iaisp64.inf
Intel(R) Audio SST OED,IntcOED.inf
Intel(R) AVStream Camera 2500,iacamera64.inf
Intel(R) CIO2 Host Controller,CSI2HostControllerDriver.inf
Intel(R) Control Logic ,iactrllogic64.inf
Intel(R) Display Audio Driver,IntcDAud.inf
Intel(R) Display Graphics Adapter Driver ,64jp6136.inf
Intel(R) Display Graphics Adapter Driver ,64kb6027.inf
Intel(R) Display Graphics Adapter Driver ,64zh6136.inf
Intel(R) Dynamic Platform and Thermal Framework (DPTF) ,dptf_cpu.inf
Intel(R) Dynamic Platform and Thermal Framework (DPTF) ,esif_manager.inf
Intel(R) Dynamic Platform Thermal Framework (DPTF) ,dptf_acpi.inf
Intel(R) Graphics Display Driver ,64gh6136.inf
Intel(R) Imaging Signal Processor 2500 ,iaisp64.inf
Intel(R) Management Engine Interface,heci.inf
Intel(R) Microsoft Camera Front ,ov5693.inf
Intel(R) Microsoft Camera IR,ov7251.inf
Intel(R) Microsoft Camera Rear,ov8865.inf
Intel(R) Precise Touch ,iaPreciseTouch.inf
Intel(R) Serial IO 12C Host Controller Driver (LPSS) ,iaLPSS2_I2C_SKL.inf
Intel(R) Serial IO GPIO Driver ,iaLPSS2_GPIO2_SKL.inf
Intel(R) Serial IO GPIO Host Controller ,iaLPSS2_GPIO2_SKL.inf
Intel(R) Serial IO I2C Host Controller ,iaLPSS2_I2C_SKL.inf
Intel(R) Serial IO UART Driver ,iaLPSS2_UART2_SKL.inf
Intel(R) Smart Sound Technology (SST) Audio Bus ,IntcAudioBus.inf
Intel(R) Smart Sound Technology (SST) OED,IntcOED.inf
Intel(R) SST Audio Bus,IntcAudioBus.inf
Intel(R) SST Audio Bus ,IntcAudioBus.inf
Intel(R) SST Audio OED ,IntcOED.inf
Realtek High Definition Audio Driver,HDXSSTM.inf
SAR - Surface Radio Monitor,SarProxy.inf
Surface Accessory Device Service,SurfaceAccessoryDevice.inf
Surface ACPI Notify Driver ,SurfaceAcpiNotifyDriver.inf
Surface ACPI-Compliant Control Method Battery ,SurfaceACPIBattery.inf
Surface Display Color Calibration ,SurfaceDisplayColor.inf
Surface Integration Service Null Driver [SIS],SurfaceServiceNullDriver.inf
Surface PTP Filter Driver,SurfacePTPFilter.inf
Surface Serial Hub Driver,SurfaceSerialHubDriver.inf
Surface Storage FW Update Driver,SurfaceStorageFwUpdate.inf
System (Gemalto eSIM Firmware Update) ,GtoPatchDrvUMDF.inf
Surface Dial Detection,SurfaceDialDetection.inf
Surface Dial Filter,SurfaceDialFilter.inf
Surface Digitizer Integration,SurfaceDigitizerIntegration.inf
Surface Pen Pairing,SurfacePenPairing.inf
Surface Pen Settings,SurfacePenDriver.inf
Surface Digitizer Integration Driver,SurfaceDigitizerIntegration.inf
Surface Dial Filter Driver,SurfaceDialFilter.inf
Surface Dial Detection ,SurfaceDialDetection.inf
Surface SAM,SurfaceSam.inf
Surface UEFI,SurfaceUEFI.inf
Surface Touch,SurfaceTouch.inf
Surface Touch Servicing ML,SurfaceTouchServicingML.inf
OEMAP_UEFI,OEMAP_UEFI.inf
Surface Integration Driver,SurfaceIntegrationDriver.inf
Surface Embedded Controller,SurfaceEC.inf
Marvell AVASTAR Wireless-AC Network Controller,mrvlpcie8897.inf
Marvell AVASTAR Bluetooth Radio Adapter,mbtr8897w81x64.inf
Intel(R) HD Graphics 620,64jp4840.inf
Intel(R) HD Graphics 620,64zh4840.inf
Accessory Bluetooth Pairing,accessorybluetoothpairing.inf
Intel(R) CSI2 Host Controller,csi2hostcontrollerdriver.inf
Surface1832DigitizerIntegration Device,digitizerintegration.inf
Intel(R) Dynamic Platform and Thermal Framework Processor Participant,dptf_acpi.inf
Intel(R) Dynamic Platform and Thermal Framework Processor Participant,dptf_cpu.inf
Intel(R) Dynamic Platform and Thermal Framework Manager,esif_manager.inf
Realtek High Definition Audio(SST),hdxsstm.inf
HID PCI Minidriver for ISS,hid_pci.inf
Intel(R) Control Logic,iactrllogic64.inf
Intel(R) Imaging Signal Processor 2500,iaisp64.inf
Intel(R) Serial IO GPIO Host Controller - INT344B,ialpss2_gpio2_skl.inf
Intel(R) Serial IO I2C Host Controller - 9D64,ialpss2_i2c_skl.inf
Intel(R) Serial IO UART Host Controller - 9D27,ialpss2_uart2_skl.inf
Intel(R) Precise Touch Device,iaprecisetouch.inf
Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller,intcaudiobus.inf
Intel(R) Display Audio,intcdaud.inf
